Account_Debit_BSI;Account_Credit_BSI;Customer_ID;User_Name;User_Address;User_Gender;User_BirthDate;User_KTP_ID;
DCA111101;;CBSI456701;Dr. Amanda Diaz PhD;Dr.AmandaDiazPhD@duncan.com;Female;1996-04-05;1554487212733950;
DCA111102;;CBSI456702;Jennifer Cooper;JenniferCooper@lyons.org;Female;1972-02-13;7029955547343440;
DCA111103;;CBSI456703;Michael Miller;MichaelMiller@gregory.net;Male;1941-09-12;1182007427098790;
DCA111104;;CBSI456704;Alexis Montes;AlexisMontes@larsen.com;Female;1941-06-15;7689029221748190;
DCA111105;;CBSI456705;Eric Walton;EricWalton@graham-thomas.com;Male;1934-01-16;1402880665442780;
DCA111106;;CBSI456706;John Thomas;JohnThomas@gomez-owens.org;Male;1925-04-19;9843997436972050;
DCA111107;;CBSI456707;Kimberly Villa;KimberlyVilla@washington-harmon.biz;Female;2011-01-31;7864486613750390;
DCA111108;;CBSI456708;Jose Hall;JoseHall@everett-hancock.com;Male;2022-10-23;1216175299173840;
DCA111109;;CBSI456709;Taylor Riley;TaylorRiley@mclaughlin.com;Female;2015-12-17;1068006154062570;
DCA111110;;CBSI456710;Sherri Jenkins;SherriJenkins@hudson.net;Female;1973-01-02;4293191368049970;
DCA111111;;CBSI456711;Victoria Fuller;VictoriaFuller@nguyen-sanders.biz;Female;2000-08-10;1104499832423290;
DCA111112;;CBSI456712;Mark Cook;MarkCook@hall.com;Male;2006-12-05;1778214517661130;
DCA111113;;CBSI456713;Amanda King;AmandaKing@summers-stokes.com;Female;1981-03-23;4480173988483180;
DCA111114;;CBSI456714;Caleb Brown;CalebBrown@koch-martin.com;Male;1929-09-18;1132803463063370;
DCA111115;;CBSI456715;Yolanda Patel;YolandaPatel@hawkins.com;Female;2014-05-24;1698066903257370;
DCA111116;;CBSI456716;Miranda Hernandez;MirandaHernandez@smith.com;Female;1978-08-02;1719862704156080;
DCA111117;;CBSI456717;Lori Peterson;LoriPeterson@combs.com;Female;2018-04-01;1477814183359210;
DCA111118;;CBSI456718;Gary Vasquez;GaryVasquez@shepard-johnson.biz;Male;1950-09-20;5609008707543310;
DCA111119;;CBSI456719;James Parker;JamesParker@lee.com;Male;1968-11-09;1223051456522250;
DCA111120;;CBSI456720;Taylor Perry;TaylorPerry@moyer.com;Female;1938-06-02;5620868511056940;
DCA111121;;CBSI456721;Anthony Mccoy;AnthonyMccoy@harmon.com;Male;1962-09-13;1422548852260420;
DCA111122;;CBSI456722;Jordan Johnson;JordanJohnson@johnson.info;Female;1910-04-16;1828748405582890;
DCA111123;;CBSI456723;Jose Jimenez;JoseJimenez@carlson-west.com;Male;1907-12-04;7427329401628140;
DCA111124;;CBSI456724;Christina Morales;ChristinaMorales@johnson.biz;Female;1994-01-31;9690573276821210;
DCA111125;;CBSI456725;Elizabeth Webster;ElizabethWebster@morales.info;Female;1920-11-23;1712076120890940;
DCA111126;;CBSI456726;Melissa Mccoy;MelissaMccoy@hill.com;Female;1907-04-02;5753896181854320;
DCA111127;;CBSI456727;Alexander Floyd;AlexanderFloyd@peterson-green.org;Male;2013-11-15;1654971578398440;
DCA111128;;CBSI456728;Linda Ortiz;LindaOrtiz@miller.com;Female;2014-01-24;4082301790551490;
DCA111129;;CBSI456729;Dana Lynch;DanaLynch@sullivan-curry.com;Female;1923-06-19;3918157989012190;
DCA111130;;CBSI456730;Heather Kane;HeatherKane@gordon.com;Female;1956-08-05;9422799464272900;
